rime_group,initial,base,tone1,tone2,tone3,tone4,tone5,tone7,tone8,tone9,tone1_num,tone2_num,tone3_num,tone4_num,tone5_num,tone7_num,tone8_num,tone9_num
ih,k,kih,kih,kíh,kìh,kih,kîh,kīh,ki̍h,ki̋h,kih1,kih2,kih3,kih4,kih5,kih7,kih8,kih9
ih,kh,khih,khih,khíh,khìh,khih,khîh,khīh,khi̍h,khi̋h,khih1,khih2,khih3,khih4,khih5,khih7,khih8,khih9
ih,l,lih,lih,líh,lìh,lih,lîh,līh,li̍h,li̋h,lih1,lih2,lih3,lih4,lih5,lih7,lih8,lih9
ih,m,mih,mih,míh,mìh,mih,mîh,mīh,mi̍h,mi̋h,mih1,mih2,mih3,mih4,mih5,mih7,mih8,mih9
ih,n,nih,nih,níh,nìh,nih,nîh,nīh,ni̍h,ni̋h,nih1,nih2,nih3,nih4,nih5,nih7,nih8,nih9
ih,ng,ngih,ngih,ngíh,ngìh,ngih,ngîh,ngīh,ngi̍h,ngi̋h,ngih1,ngih2,ngih3,ngih4,ngih5,ngih7,ngih8,ngih9
ih,p,pih,pih,píh,pìh,pih,pîh,pīh,pi̍h,pi̋h,pih1,pih2,pih3,pih4,pih5,pih7,pih8,pih9
ih,ph,phih,phih,phíh,phìh,phih,phîh,phīh,phi̍h,phi̋h,phih1,phih2,phih3,phih4,phih5,phih7,phih8,phih9
ih,s,sih,sih,síh,sìh,sih,sîh,sīh,si̍h,si̋h,sih1,sih2,sih3,sih4,sih5,sih7,sih8,sih9
ih,t,tih,tih,tíh,tìh,tih,tîh,tīh,ti̍h,ti̋h,tih1,tih2,tih3,tih4,tih5,tih7,tih8,tih9
ih,th,thih,thih,thíh,thìh,thih,thîh,thīh,thi̍h,thi̋h,thih1,thih2,thih3,thih4,thih5,thih7,thih8,thih9
ih,ts,tsih,tsih,tsíh,tsìh,tsih,tsîh,tsīh,tsi̍h,tsi̋h,tsih1,tsih2,tsih3,tsih4,tsih5,tsih7,tsih8,tsih9
ih,tsh,tshih,tshih,tshíh,tshìh,tshih,tshîh,tshīh,tshi̍h,tshi̋h,tshih1,tshih2,tshih3,tshih4,tshih5,tshih7,tshih8,tshih9
ik,,ik,ik,ík,ìk,ik,îk,īk,i̍k,i̋k,ik1,ik2,ik3,ik4,ik5,ik7,ik8,ik9
ik,b,bik,bik,bík,bìk,bik,bîk,bīk,bi̍k,bi̋k,bik1,bik2,bik3,bik4,bik5,bik7,bik8,bik9
ik,g,gik,gik,gík,gìk,gik,gîk,gīk,gi̍k,gi̋k,gik1,gik2,gik3,gik4,gik5,gik7,gik8,gik9
ik,h,hik,hik,hík,hìk,hik,hîk,hīk,hi̍k,hi̋k,hik1,hik2,hik3,hik4,hik5,hik7,hik8,hik9
ik,j,jik,jik,jík,jìk,jik,jîk,jīk,ji̍k,ji̋k,jik1,jik2,jik3,jik4,jik5,jik7,jik8,jik9
ik,k,kik,kik,kík,kìk,kik,kîk,kīk,ki̍k,ki̋k,kik1,kik2,kik3,kik4,kik5,kik7,kik8,kik9
ik,kh,khik,khik,khík,khìk,khik,khîk,khīk,khi̍k,khi̋k,khik1,khik2,khik3,khik4,khik5,khik7,khik8,khik9
ik,l,lik,lik,lík,lìk,lik,lîk,līk,li̍k,li̋k,lik1,lik2,lik3,lik4,lik5,lik7,lik8,lik9
ik,m,mik,mik,mík,mìk,mik,mîk,mīk,mi̍k,mi̋k,mik1,mik2,mik3,mik4,mik5,mik7,mik8,mik9
ik,n,nik,nik,ník,nìk,nik,nîk,nīk,ni̍k,ni̋k,nik1,nik2,nik3,nik4,nik5,nik7,nik8,nik9
ik,ng,ngik,ngik,ngík,ngìk,ngik,ngîk,ngīk,ngi̍k,ngi̋k,ngik1,ngik2,ngik3,ngik4,ngik5,ngik7,ngik8,ngik9
ik,p,pik,pik,pík,pìk,pik,pîk,pīk,pi̍k,pi̋k,pik1,pik2,pik3,pik4,pik5,pik7,pik8,pik9
ik,ph,phik,phik,phík,phìk,phik,phîk,phīk,phi̍k,phi̋k,phik1,phik2,phik3,phik4,phik5,phik7,phik8,phik9
ik,s,sik,sik,sík,sìk,sik,sîk,sīk,si̍k,si̋k,sik1,sik2,sik3,sik4,sik5,sik7,sik8,sik9
ik,t,tik,tik,tík,tìk,tik,tîk,tīk,ti̍k,ti̋k,tik1,tik2,tik3,tik4,tik5,tik7,tik8,tik9
ik,th,thik,thik,thík,thìk,thik,thîk,thīk,thi̍k,thi̋k,thik1,thik2,thik3,thik4,thik5,thik7,thik8,thik9
ik,ts,tsik,tsik,tsík,tsìk,tsik,tsîk,tsīk,tsi̍k,tsi̋k,tsik1,tsik2,tsik3,tsik4,tsik5,tsik7,tsik8,tsik9
ik,tsh,tshik,tshik,tshík,tshìk,tshik,tshîk,tshīk,tshi̍k,tshi̋k,tshik1,tshik2,tshik3,tshik4,tshik5,tshik7,tshik8,tshik9
im,,im,im,ím,ìm,,îm,īm,,i̋m,im1,im2,im3,,im5,im7,,im9
im,b,bim,bim,bím,bìm,,bîm,bīm,,bi̋m,bim1,bim2,bim3,,bim5,bim7,,bim9
im,g,gim,gim,gím,gìm,,gîm,gīm,,gi̋m,gim1,gim2,gim3,,gim5,gim7,,gim9
im,h,him,him,hím,hìm,,hîm,hīm,,hi̋m,him1,him2,him3,,him5,him7,,him9
im,j,jim,jim,jím,jìm,,jîm,jīm,,ji̋m,jim1,jim2,jim3,,jim5,jim7,,jim9
im,k,kim,kim,kím,kìm,,kîm,kīm,,ki̋m,kim1,kim2,kim3,,kim5,kim7,,kim9
im,kh,khim,khim,khím,khìm,,khîm,khīm,,khi̋m,khim1,khim2,khim3,,khim5,khim7,,khim9
im,l,lim,lim,lím,lìm,,lîm,līm,,li̋m,lim1,lim2,lim3,,lim5,lim7,,lim9
im,m,mim,mim,mím,mìm,,mîm,mīm,,mi̋m,mim1,mim2,mim3,,mim5,mim7,,mim9
im,n,nim,nim,ním,nìm,,nîm,nīm,,ni̋m,nim1,nim2,nim3,,nim5,nim7,,nim9
im,ng,ngim,ngim,ngím,ngìm,,ngîm,ngīm,,ngi̋m,ngim1,ngim2,ngim3,,ngim5,ngim7,,ngim9
im,p,pim,pim,pím,pìm,,pîm,pīm,,pi̋m,pim1,pim2,pim3,,pim5,pim7,,pim9
im,ph,phim,phim,phím,phìm,,phîm,phīm,,phi̋m,phim1,phim2,phim3,,phim5,phim7,,phim9
im,s,sim,sim,sím,sìm,,sîm,sīm,,si̋m,sim1,sim2,sim3,,sim5,sim7,,sim9
im,t,tim,tim,tím,tìm,,tîm,tīm,,ti̋m,tim1,tim2,tim3,,tim5,tim7,,tim9
im,th,thim,thim,thím,thìm,,thîm,thīm,,thi̋m,thim1,thim2,thim3,,thim5,thim7,,thim9
im,ts,tsim,tsim,tsím,tsìm,,tsîm,tsīm,,tsi̋m,tsim1,tsim2,tsim3,,tsim5,tsim7,,tsim9
im,tsh,tshim,tshim,tshím,tshìm,,tshîm,tshīm,,tshi̋m,tshim1,tshim2,tshim3,,tshim5,tshim7,,tshim9
in,,in,in,ín,ìn,,în,īn,,i̋n,in1,in2,in3,,in5,in7,,in9
in,b,bin,bin,bín,bìn,,bîn,bīn,,bi̋n,bin1,bin2,bin3,,bin5,bin7,,bin9
in,g,gin,gin,gín,gìn,,gîn,gīn,,gi̋n,gin1,gin2,gin3,,gin5,gin7,,gin9
in,h,hin,hin,hín,hìn,,hîn,hīn,,hi̋n,hin1,hin2,hin3,,hin5,hin7,,hin9
in,j,jin,jin,jín,jìn,,jîn,jīn,,ji̋n,jin1,jin2,jin3,,jin5,jin7,,jin9
in,k,kin,kin,kín,kìn,,kîn,kīn,,ki̋n,kin1,kin2,kin3,,kin5,kin7,,kin9
in,kh,khin,khin,khín,khìn,,khîn,khīn,,khi̋n,khin1,khin2,khin3,,khin5,khin7,,khin9
in,l,lin,lin,lín,lìn,,lîn,līn,,li̋n,lin1,lin2,lin3,,lin5,lin7,,lin9
in,m,min,min,mín,mìn,,mîn,mīn,,mi̋n,min1,min2,min3,,min5,min7,,min9
in,n,nin,nin,nín,nìn,,nîn,nīn,,ni̋n,nin1,nin2,nin3,,nin5,nin7,,nin9
in,ng,ngin,ngin,ngín,ngìn,,ngîn,ngīn,,ngi̋n,ngin1,ngin2,ngin3,,ngin5,ngin7,,ngin9
in,p,pin,pin,pín,pìn,,pîn,pīn,,pi̋n,pin1,pin2,pin3,,pin5,pin7,,pin9
in,ph,phin,phin,phín,phìn,,phîn,phīn,,phi̋n,phin1,phin2,phin3,,phin5,phin7,,phin9
in,s,sin,sin,sín,sìn,,sîn,sīn,,si̋n,sin1,sin2,sin3,,sin5,sin7,,sin9
in,t,tin,tin,tín,tìn,,tîn,tīn,,ti̋n,tin1,tin2,tin3,,tin5,tin7,,tin9
in,th,thin,thin,thín,thìn,,thîn,thīn,,thi̋n,thin1,thin2,thin3,,thin5,thin7,,thin9
in,ts,tsin,tsin,tsín,tsìn,,tsîn,tsīn,,tsi̋n,tsin1,tsin2,tsin3,,tsin5,tsin7,,tsin9
in,tsh,tshin,tshin,tshín,tshìn,,tshîn,tshīn,,tshi̋n,tshin1,tshin2,tshin3,,tshin5,tshin7,,tshin9
ing,,ing,ing,íng,ìng,,îng,īng,,i̋ng,ing1,ing2,ing3,,ing5,ing7,,ing9
ing,b,bing,bing,bíng,bìng,,bîng,bīng,,bi̋ng,bing1,bing2,bing3,,bing5,bing7,,bing9
ing,g,ging,ging,gíng,gìng,,gîng,gīng,,gi̋ng,ging1,ging2,ging3,,ging5,ging7,,ging9
ing,h,hing,hing,híng,hìng,,hîng,hīng,,hi̋ng,hing1,hing2,hing3,,hing5,hing7,,hing9
ing,j,jing,jing,jíng,jìng,,jîng,jīng,,ji̋ng,jing1,jing2,jing3,,jing5,jing7,,jing9
ing,k,king,king,kíng,kìng,,kîng,kīng,,ki̋ng,king1,king2,king3,,king5,king7,,king9
ing,kh,khing,khing,khíng,khìng,,khîng,khīng,,khi̋ng,khing1,khing2,khing3,,khing5,khing7,,khing9
ing,l,ling,ling,líng,lìng,,lîng,līng,,li̋ng,ling1,ling2,ling3,,ling5,ling7,,ling9
ing,m,ming,ming,míng,mìng,,mîng,mīng,,mi̋ng,ming1,ming2,ming3,,ming5,ming7,,ming9
ing,n,ning,ning,níng,nìng,,nîng,nīng,,ni̋ng,ning1,ning2,ning3,,ning5,ning7,,ning9
ing,ng,nging,nging,ngíng,ngìng,,ngîng,ngīng,,ngi̋ng,nging1,nging2,nging3,,nging5,nging7,,nging9
ing,p,ping,ping,píng,pìng,,pîng,pīng,,pi̋ng,ping1,ping2,ping3,,ping5,ping7,,ping9
ing,ph,phing,phing,phíng,phìng,,phîng,phīng,,phi̋ng,phing1,phing2,phing3,,phing5,phing7,,phing9
ing,s,sing,sing,síng,sìng,,sîng,sīng,,si̋ng,sing1,sing2,sing3,,sing5,sing7,,sing9
